Quantization,Language,Prompt
Mistral-7B-Instruct-Aya-101.Q4_K_S,en,"With the depths of your emotions,
You dive deep into the hidden truths of your soul.
Your intuition, a mirror reflecting
The secrets of your inner self.
Water, a precious source of connection,
Empathy, the bridge to understanding,
Embrace your emotional world,
Explore the wisdom within.
Your feelings, a compass guiding your path.
The Water card, a gentle reminder,
To cherish emotional sensitivity,
A powerful tool for self-discovery
And connection with others."
Mistral-7B-Instruct-Aya-101.Q4_K_S,en,"In the symbology of the elemental breath, the Temperance card evokes the harmonious dance of thoughts, nurturing our mental landscape. It whispers of the power of balanced communication, urging us to discern the essence of our inner dialogue."
Mistral-7B-Instruct-Aya-101.Q4_K_S,en,"Contemplate the nurturing soil of life, the sustenance of dreams through physical endeavor. The Three of Wands speaks of the journey from spiritual aspiration to tangible manifestation. Await the ripened fruit of your vision, the transformation of abstract intention into solid, earthly form. The earthy connection calls for a balanced approach, embracing both the nourishing sustenance and the fertile ground for growth."
Mistral-7B-Instruct-Aya-101.Q4_K_S,en,"Contemplate the nurturing embrace of Earth, as your spirit descends into manifested forms and resources."
Mistral-7B-Instruct-Aya-101.Q4_K_S,en,"The sword-wielding queen descends into the earthly realm, her regal crown topped with verdant foliage. With a fierce grace, she plants her heel upon the rich loam, her eyes aglow with ancient wisdom. Her scepter, a mighty oak, reaches for the fiery skies, her heart rooted in the earth's embrace."
Mistral-7B-Instruct-Aya-101.Q4_K_S,en,"In the depths of the psyche, feelings surge like the ocean's waves, carrying currents of intuition and emotion. The Queen of Pentacles reflects the wisdom gleaned from experiences, inviting a deeper exploration of emotional landscapes. Like a mirror, her presence reveals hidden truths, illuminating the intricacies of the subconscious. As a source of sustenance and growth, she offers nourishment to the emotional self, fostering a connection to the depths of self-understanding."
Mistral-7B-Instruct-Aya-101.Q4_K_S,en,"The divine spark within,
Burning with an inner flame,
Empowering action,
Changing the world,
Purifying old ways,
Reinventing self,
Manifesting will through purpose."
Mistral-7B-Instruct-Aya-101.Q4_K_S,en,"The Four of Cups whispers, ""Nourish yourself with the elements of the earth, and create a solid foundation for your dreams. Savor the fruits of your labor and the blessings of the earth. Consider the ways in which your actions are aligned with your beliefs, and seek to strengthen this sacred relationship."""
Mistral-7B-Instruct-Aya-101.Q4_K_S,en,"Ten of Swords: The inner spark, glowing with the power of will and desire, is stung by the piercing arrows of choice and consequence. Amidst the trials and tribulations, the resilient seeker learns to channel the passion and inner force, forging new paths and conquering adversity."
Mistral-7B-Instruct-Aya-101.Q4_K_S,en,"Your connection to the material plane is rooted deeply, nurturing your growth and manifesting your passions."
Mistral-7B-Instruct-Aya-101.Q4_K_S,en,"Nurturing currents of emotions, unveiling untold stories within,
Ebbs and flows of hidden depths, truths to uncover and mend,
Connecting fragments of the soul, bridging chasms and lightening,
Illuminating the shadows within, an ocean of feelings, we're beginning."
Mistral-7B-Instruct-Aya-101.Q4_K_S,en,Embrace the power of inner strength to navigate and thrive in the realm of resources and material abundance. Strengthen your connection to the earthly aspects of your existence.
Mistral-7B-Instruct-Aya-101.Q4_K_S,es,"El Emperador es un símbolo de estabilidad y orden, representando el control y la seguridad en la vida. La Carta del Agua, donde se enfoca la lectura, simboliza las emociones y sentimientos. Esta combinación abre la posibilidad de una emocionalidad que se sostiene con la fuerza y la estructura del Emperador. Es una lectura que enfatiza la necesidad de asegurarse y sentirse con control sobre los sentimientos, haciendo que las emociones sean una fuente de crecimiento, no un desafío incontrolable."
Mistral-7B-Instruct-Aya-101.Q4_K_S,es,"La Templanza es un mensaje de equilibrio y moderación. Sugiere una atención sostenida hacia el mundo interior, y la necesidad de una sabiduría cautelosa en el camino de la comprensión. La carta de Aire aporta un respiramiento profundo, un aliento nuevo, un viento que hace girar la pieza desde el lado del interior. En el momento de la consulta, es oportuno buscar una clara conexión con el pensamiento, la comunicación y la inteligencia, y considerar cómo estas funciones mentalmente pueden ofrecer nuevas perspectivas."
Mistral-7B-Instruct-Aya-101.Q4_K_S,es,"""Aguas que no se mueven quedan limpias. La vida con sucesividad nos trae momentos. Si quiero ser limpio, limpio. Si quiero ser lleno, lleno. Si quiero ser mudo, mudo. La vida me ofrece el cielo y la tierra. La tierra siempre está aquí en todo momento. 
En este momento a la tierra y en la tierra hemos de ver nuestra vida. La tierra en nuestro cuerpo. La tierra en nuestro hogar. La tierra en el espacio.
""Yo no tengo hambre o sed, ni nada que diga mi cuerpo. 
¡Casa de mi casa, ¡mi casa de mi casa! 
¡Casa en la que ves la luz y la tierra! 
Casa que ama la tierra en la materia y la luz en el espíritu! 
Casa que es mi casa y la casa de mi herencia eterna. """
Mistral-7B-Instruct-Aya-101.Q4_K_S,es,"Un buen lugar para encontrar la seguridad y el apoyo es en medio de nuestra práctica cotidiana. Allí se encontrará nuestro sustrato, nuestra base de apoyo y comprensión. Asegúrate de que las cosas materiales estén alineadas con lo que quiere manifestar en su vida."
Mistral-7B-Instruct-Aya-101.Q4_K_S,es,Reina de Espadas. Es la soberanía de los espíritus de fuego. La fuerza. Los deslizamientos de las siete espadas en la Tierra. Derechos naturales. Fuego.
Mistral-7B-Instruct-Aya-101.Q4_K_S,es,Las sentimientos te submergen en el flujo emocional.
Mistral-7B-Instruct-Aya-101.Q4_K_S,es,Un cambio está por venir.
Mistral-7B-Instruct-Aya-101.Q4_K_S,es,"Los arraigados pilares de nuestro ser, nuestra tierra firme."
Mistral-7B-Instruct-Aya-101.Q4_K_S,es,"Las esporas del fuego, a través de la que florece la voluntad."
Mistral-7B-Instruct-Aya-101.Q4_K_S,es,"Una cosechadora de un fruto delicado y sutil, que crece solo en lugares privilegiados."
Mistral-7B-Instruct-Aya-101.Q4_K_S,es,"La carta de Agua invita a navegar por las profundidades emocionales, descubriendo secretos que el subconsciente oculta."
Mistral-7B-Instruct-Aya-101.Q4_K_S,es,"La fuerza: La fuerza es el poder vital que nos nutre y nos apoya en el camino de la realidad. Es el elemento que nos permite sobrellevar las adversidades y seguir adelante en el camino de la transformación. La fuerza es el elemento que nos ayuda a mantener la estabilidad en la vida cotidiana, a superar las dificultades y a alcanzar nuestros objetivos. La fuerza es el elemento que nos enseña a conectar con el cuerpo y con el medio ambiente, a recibir las energías del terreno y a manifestar nuestra voluntad en acciones concretas. La fuerza nos invita a ser valientes y a seguir adelante, a ser sólidos y a sobrellevar las pruebas de la vida. La fuerza nos ayuda a conectar con el fuego interior, con la pasión y con los deseos, y nos ayuda a canalizar nuestro poder en proyectos y acciones significativos que nos lleven a crecer y a transformarnos"
