Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"The Emperor stands tall amidst the realm of emotions, embodying the power of empathy and understanding. He holds the coin aloft, representing the abundance of feelings that flow through the subconscious. This card invites the seeker to explore the depths of their psyche, immersing themselves in the flow of their own intuition and sensitivity. The Emperor of Water calls forth courage to navigate the sometimes turbulent waters of the heart, trusting in their capacity to ride the waves of empathy and compassion. To explore the hidden currents of their psyche and uncover the wisdom of their emotions. This card reveals the seeker's potential to harness their feelings as a tool for connection and self-discovery, honoring their emotional world as a gift for exploring their own depths and forging bonds with others.",en,120,13,0,133,0.098,"['he', 'invites', 'to', 'explore', 'to', 'to', 'to', 'explore', 'to', 'as', 'a', 'as', 'a']",[]
1,"The Temperance card stands amidst the realm of thought and communication, embodying the power of clarity and discernment. The Page holds the cup aloft, ready to receive the bounty of wisdom. This card invites the seeker to explore the relationship between their spiritual aspirations and their physical reality, considering how their beliefs and values translate into tangible experiences. Temperance calls forth gratitude for the abundance that surrounds them, honoring their capacity to manifest their desires through conscious creation. The Page of Cups reveals the seeker's potential to transform challenges into opportunities through resourcefulness and resilience. To trust in their ability to overcome obstacles and create prosperity through perseverance and ingenuity. This card invites the seeker to embrace their capacity to manifest abundance through their thoughts and actions, aligning their inner world with the material realm.",en,119,17,0,136,0.125,"['to', 'invites', 'to', 'explore', 'reality', 'tangible', 'gratitude', 'to', 'to', 'to', 'trust', 'to', 'invites', 'to', 'embrace', 'to', 'material']",[]
2,"The Three of Wands stands amidst the earthly realm, embodying the power of resourcefulness and resilience. The Page holds the wand aloft, ready to cut through obstacles with determination. This card invites the seeker to explore the relationship between their spiritual aspirations and their physical reality, considering how their beliefs and values translate into tangible experiences. The Three of Earth calls forth gratitude for the abundance that surrounds them, honoring their capacity to manifest their desires through conscious creation. The Page of Pentacles reveals the seeker's potential to transform challenges into opportunities through resourcefulness and perseverance. To trust in their ability to overcome obstacles and create prosperity through ingenuity and hard work. This card invites the seeker to embrace their capacity to manifest abundance through their thoughts and actions, aligning their inner world with the material realm.",en,121,17,0,138,0.123,"['to', 'invites', 'to', 'explore', 'reality', 'tangible', 'gratitude', 'to', 'to', 'to', 'trust', 'to', 'invites', 'to', 'embrace', 'to', 'material']",[]
3,"The Ten of Pentacles stands amidst the realm of abundance and prosperity, embodying the power of resourcefulness and resilience. The Page holds the coin aloft, ready to receive the bounty of the material world. This card invites the seeker to explore the relationship between their spiritual aspirations and their physical reality, considering how their beliefs and values translate into tangible experiences. The Ten of Earth calls forth gratitude for the abundance that surrounds them, honoring their capacity to manifest their desires through conscious creation. The Page of Pentacles reveals the seeker's potential to transform challenges into opportunities through resourcefulness and perseverance. To trust in their ability to overcome obstacles and create prosperity through ingenuity and hard work. This card invites the seeker to embrace their capacity to manifest abundance through their thoughts and actions, aligning their inner world with the material realm.",en,123,20,0,143,0.14,"['ten', 'to', 'material', 'invites', 'to', 'explore', 'reality', 'tangible', 'ten', 'gratitude', 'to', 'to', 'to', 'trust', 'to', 'invites', 'to', 'embrace', 'to', 'material']",[]
4,"The Queen of Swords stands amidst the earthly realm, embodying the power of resourcefulness and resilience. She holds the sword aloft, ready to cut through obstacles with determination. This card invites the seeker to explore the relationship between their spiritual aspirations and their physical reality, considering how their beliefs and values translate into tangible experiences. The Queen of Earth calls forth gratitude for the abundance that surrounds them, honoring their capacity to manifest their desires through conscious creation. The Page of Pentacles reveals the seeker's potential to transform challenges into opportunities through resourcefulness and perseverance. To trust in their ability to overcome obstacles and create prosperity through ingenuity and hard work. This card invites the seeker to embrace their capacity to manifest abundance through their thoughts and actions, aligning their inner world with the material realm.",en,118,19,0,137,0.139,"['queen', 'to', 'invites', 'to', 'explore', 'reality', 'tangible', 'queen', 'gratitude', 'to', 'to', 'to', 'trust', 'to', 'invites', 'to', 'embrace', 'to', 'material']",[]
5,"The Queen of Pentacles stands amidst the realm of emotions, embodying the power of empathy and compassion. She holds the coin aloft, representing the abundance of feelings that flow through the subconscious. This card invites the seeker to explore the depths of their psyche, immersing themselves in the flow of their own intuition and sensitivity. The Queen of Water calls forth courage to navigate the sometimes turbulent waters of the heart, trusting in their capacity to ride the waves of empathy and understanding. To explore the hidden currents of their psyche and uncover the wisdom of their emotions. This card reveals the seeker's potential to harness their feelings as a tool for connection and self-discovery, honoring their emotional world as a gift for exploring their own depths and forging bonds with others.",en,120,14,0,134,0.104,"['queen', 'invites', 'to', 'explore', 'queen', 'to', 'to', 'to', 'explore', 'to', 'as', 'a', 'as', 'a']",[]
6,"The Ten of Cups stands amidst the realm of passion and desire, embodying the power of inspiration and creativity. The Page holds the cup aloft, ready to receive the bounty of the material world. This card invites the seeker to explore the relationship between their spiritual aspirations and their physical reality, considering how their beliefs and values translate into tangible experiences. The Ten of Fire calls forth gratitude for the abundance that surrounds them, honoring their capacity to manifest their desires through conscious creation. The Page of Cups reveals the seeker's potential to transform challenges into opportunities through resourcefulness and resilience. To trust in their ability to overcome obstacles and create prosperity through perseverance and ingenuity. This card invites the seeker to embrace their capacity to manifest abundance through their thoughts and actions, aligning their inner world with the material realm.",en,122,20,0,142,0.141,"['ten', 'to', 'material', 'invites', 'to', 'explore', 'reality', 'tangible', 'ten', 'gratitude', 'to', 'to', 'to', 'trust', 'to', 'invites', 'to', 'embrace', 'to', 'material']",[]
7,"The Four of Cups stands amidst the earthly realm, embodying the power of resourcefulness and resilience. The Page holds the cup aloft, ready to receive the bounty of the material world. This card invites the seeker to explore the relationship between their spiritual aspirations and their physical reality, considering how their beliefs and values translate into tangible experiences. The Four of Earth calls forth gratitude for the abundance that surrounds them, honoring their capacity to manifest their desires through conscious creation. The Page of Pentacles reveals the seeker's potential to transform challenges into opportunities through resourcefulness and perseverance. To trust in their ability to overcome obstacles and create prosperity through ingenuity and hard work. This card invites the seeker to embrace their capacity to manifest abundance through their thoughts and actions, aligning their inner world with the material realm.",en,122,18,0,140,0.129,"['to', 'material', 'invites', 'to', 'explore', 'reality', 'tangible', 'gratitude', 'to', 'to', 'to', 'trust', 'to', 'invites', 'to', 'embrace', 'to', 'material']",[]
8,"The Ten of Swords stands amidst the fiery realm, a testament to the power of transformation through willpower. The Page holds the sword aloft, ready to cut through obstacles and obstacles with determination. This card invites the seeker to explore the relationship between their spiritual aspirations and their physical reality, considering how their beliefs and values translate into tangible experiences. The Ten of Fire calls forth gratitude for the abundance that surrounds them, honoring their capacity to manifest their desires through conscious creation. The Page of Swords reveals the seeker's potential to transform challenges into opportunities through resourcefulness and resilience. To trust in their ability to overcome obstacles and create prosperity through perseverance and ingenuity. This card invites the seeker to embrace their capacity to manifest abundance through their thoughts and actions, aligning their inner world with the material realm.",en,119,21,1,141,0.149,"['ten', 'a', 'to', 'to', 'invites', 'to', 'explore', 'reality', 'tangible', 'ten', 'gratitude', 'to', 'to', 'to', 'trust', 'to', 'invites', 'to', 'embrace', 'to', 'material']",['willpower']
9,"The Ace of Cups stands amidst the earthly realm, a symbol of abundance and potential waiting to manifest. The Page holds the cup aloft, ready to receive the bounty of the material world. This card invites the seeker to explore the relationship between their spiritual aspirations and their physical reality, considering how their beliefs and values translate into tangible experiences. The Ace of Earth calls forth gratitude for the abundance that surrounds them, honoring their capacity to manifest their desires through conscious creation. The Page of Cups reveals the seeker's potential to transform challenges into opportunities through resourcefulness and resilience. To trust in their ability to overcome obstacles and create prosperity through perseverance and ingenuity. This card invites the seeker to embrace their capacity to manifest abundance through their thoughts and actions, aligning their inner world with the material realm.",en,121,20,0,141,0.142,"['a', 'to', 'to', 'material', 'invites', 'to', 'explore', 'reality', 'tangible', 'gratitude', 'to', 'to', 'to', 'trust', 'to', 'invites', 'to', 'embrace', 'to', 'material']",[]
10,"Page of Wands reversed suggests a journey of emotional exploration and growth. The Page stands at the threshold of their feelings, wand held tentatively, ready to venture into the depths of their psyche. Water surrounds them, reflecting the inner world of intuition and emotions. The Page pauses before the waters, sensing the power of their own sensitivity. This card invites the seeker to dive within themselves, immersing in the flow of their feelings. To explore the hidden currents of their subconscious and uncover the wisdom of their emotions. The Page of Water calls forth courage to navigate the sometimes turbulent waters of the heart. To ride the waves of empathy and compassion, understanding their own needs and those of others. This card is a mirror reflecting the seeker's capacity for emotional connection and self-discovery. It reveals the Page's potential to harness their feelings as a tool for understanding and growth. The Page of Water invites the seeker to honor their emotional world, embracing their sensitivity as a gift for exploring their own depths and forging bonds with others.",en,163,18,0,181,0.099,"['a', 'to', 'pauses', 'invites', 'to', 'to', 'explore', 'to', 'to', 'a', 'to', 'as', 'a', 'invites', 'to', 'honor', 'as', 'a']",[]
11,"The Strength card stands tall amidst the earthly realm, embodying the power of will and determination. The lion, a symbol of strength, is held gently by the Page's hand, representing the mastery of the material world through inner resources. The Page of Earth stands upon solid ground, rooted in their ability to manifest their intentions into physical form. This card invites the seeker to explore the relationship between their inner world and the tangible realm, considering how their thoughts and emotions translate into actions and outcomes. The Strength Page calls forth the courage to confront challenges with grace and resilience, drawing upon the strength of their convictions. To trust in their capacity to overcome obstacles and create opportunities for growth through perseverance and resourcefulness. The Page of Earth reveals the seeker's potential to harness their inner power for material success, honoring their ability to transform challenges into triumphs through steadfast resolve. This card invites the seeker to embrace their strength of character as a tool for navigating the earthly plane, transforming obstacles into stepping stones for personal growth and achievement.",en,159,23,0,182,0.126,"['a', 'material', 'solid', 'to', 'invites', 'to', 'explore', 'tangible', 'to', 'to', 'trust', 'to', 'to', 'material', 'to', 'resolve', 'invites', 'to', 'embrace', 'as', 'a', 'plane', 'personal']",[]
12,"En el lago de los sentimientos, donde el agua refleja la luz de la comprensión, se encuentra la fuente de la empatía y la conexión. En las profundidades del corazón, donde el agua se vuelve oscura, se encuentran tesoros de sabiduría y verdad. Sumérgete en tu mundo emocional y deja que la corriente de tus sentimientos te guíe hacia la comprensión. Las corrientes internas pueden ser turbulentas, pero también son fuente de vital energía y conexión. Honra tus sentimientos y deja que fluyan libremente, permitiendo que la empatía abra caminos hacia nuevas perspectivas. En el lago de tu corazón, la corriente de tus emociones es un río de posibilidades que pueden llevarte a lugares inesperados. Confía en tu intuición y deja que el flujo de tus sentimientos te acerque a ti mismo y a los demás.",es,0,134,2,136,0.0,[],"['sumérgete', 'llevarte']"
13,"En el viento de la inspiración, donde el aire es el vehículo de la iluminación, se encuentra la claridad que permite la comprensión. En el intercambio de ideas y perspectivas, donde el aire conecta los corazones y las mentes, se encuentra la empatía que permite la conexión. En el flujo de pensamientos y palabras, donde el aire es el medio de la comunicación, se encuentra la sabiduría que permite el crecimiento. En el viento de la comprensión, donde el aire es el vehículo de la iluminación, se encuentra la claridad que permite la comprensión. En el intercambio de ideas y perspectivas, donde el aire conecta los corazones y las mentes, se encuentra la empatía que permite la conexión. En el flujo de pensamientos y palabras, donde el aire es el medio de la comunicación, se encuentra la sabiduría que permite el crecimiento.",es,0,142,0,142,0.0,[],[]
