Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"The Emperor, a card of authority and stability, symbolizes the potential to embrace and nourish life. In the context of Water, this card suggests a journey of emotional transformation, where one learns to channel their feelings and resources into tangible, life-giving achievements. The Emperor embodies the spirit of adventure and the courage to explore uncharted territories, much like the Water card's invitation to embrace the depths of one's emotional world. This card encourages a quest for self-discovery, where one discovers the power of their emotional and physical resources to drive meaningful decisions and foster deeper connections with others. It is a reminder that, like the Water card, the Emperor invites us to embrace our emotional landscapes, to see them as sources of strength and insight, rather than obstacles.",en,114,18,0,132,0.136,"['a', 'to', 'embrace', 'a', 'to', 'tangible', 'to', 'explore', 'to', 'embrace', 'a', 'to', 'a', 'invites', 'to', 'embrace', 'to', 'as']",[]
1,"Temperance, a card of balance and harmony, symbolizes the potential to embrace and nourish life. In the context of Air, this card suggests a journey of mental transformation, where one learns to channel their thoughts and resources into tangible, life-giving achievements. Temperance embodies the spirit of adventure and the courage to explore uncharted territories, much like the Air card's invitation to embrace the vital breath that links humans to universal forces. This card encourages a quest for self-discovery, where one discovers the power of their mental and emotional resources to drive meaningful decisions and foster deeper connections with others. It is a reminder that, like the Air card, Temperance invites us to embrace our intellectual landscapes, to see them as sources of strength and insight, rather than obstacles.",en,107,24,0,131,0.183,"['a', 'balance', 'to', 'embrace', 'a', 'mental', 'to', 'tangible', 'to', 'explore', 'to', 'embrace', 'vital', 'to', 'universal', 'a', 'mental', 'to', 'a', 'invites', 'to', 'embrace', 'to', 'as']",[]
2,"The Three of Wands, a card of action and decision-making, symbolizes the potential to embrace and nourish life. In the context of Earth, this card suggests a journey of material transformation, where one learns to channel their resources and physical abilities into tangible, life-giving achievements. The Three of Wands embodies the spirit of adventure and the courage to explore uncharted territories, much like the Earth card's invitation to embrace the tangible world and its resources. This card encourages a quest for self-discovery, where one discovers the power of their physical and emotional resources to drive meaningful decisions and foster deeper connections with others. It is a reminder that, like the Earth card, the Three of Wands invites us to embrace our material landscapes, to see them as sources of strength and insight, rather than obstacles.",en,118,21,0,139,0.151,"['a', 'to', 'embrace', 'a', 'material', 'to', 'tangible', 'to', 'explore', 'to', 'embrace', 'tangible', 'a', 'to', 'a', 'invites', 'to', 'embrace', 'material', 'to', 'as']",[]
3,"The Ten of Pentacles, a card of abundance and material wealth, symbolizes the potential to embrace and nourish life. In the context of Earth, this card suggests a journey of material transformation, where one learns to channel their resources and physical abilities into tangible, life-giving achievements. The Ten of Pentacles embodies the spirit of adventure and the courage to explore uncharted territories, much like the Earth card's invitation to embrace the tangible world and its resources. This card encourages a quest for self-discovery, where one discovers the power of their physical and emotional resources to drive meaningful decisions and foster deeper connections with others. It is a reminder that, like the Earth card, the Ten of Pentacles invites us to embrace our material landscapes, to see them as sources of strength and insight, rather than obstacles.",en,114,25,0,139,0.18,"['ten', 'a', 'material', 'to', 'embrace', 'a', 'material', 'to', 'tangible', 'ten', 'to', 'explore', 'to', 'embrace', 'tangible', 'a', 'to', 'a', 'ten', 'invites', 'to', 'embrace', 'material', 'to', 'as']",[]
4,"The Queen of Swords, a card of intellect and decisive action, symbolizes the potential to embrace and navigate the challenges of life. In the context of Earth, this card suggests a journey of material transformation, where one learns to channel their resources and physical abilities into tangible, life-giving achievements. The Queen of Swords embodies the spirit of adventure and the courage to explore uncharted territories, much like the Earth card's invitation to embrace the tangible world and its resources. This card encourages a quest for self-discovery, where one discovers the power of their physical and emotional resources to drive meaningful decisions and foster deeper connections with others. It is a reminder that, like the Earth card, the Queen of Swords invites us to embrace our material landscapes, to see them as sources of strength and insight, rather than obstacles.",en,118,24,0,142,0.169,"['queen', 'a', 'to', 'embrace', 'a', 'material', 'to', 'tangible', 'queen', 'to', 'explore', 'to', 'embrace', 'tangible', 'a', 'to', 'a', 'queen', 'invites', 'to', 'embrace', 'material', 'to', 'as']",[]
5,"The Queen of Pentacles, a card of stability and material wealth, symbolizes the potential to embrace and nourish life. In the context of Water, this card suggests a journey of emotional transformation, where one learns to channel their resources and physical abilities into tangible, life-giving achievements. The Queen of Pentacles embodies the spirit of adventure and the courage to explore uncharted territories, much like the Water card's invitation to embrace the tangible world and its resources. This card encourages a quest for self-discovery, where one discovers the power of their physical and emotional resources to drive meaningful decisions and foster deeper connections with others. It is a reminder that, like the Water card, the Queen of Pentacles invites us to embrace our material landscapes, to see them as sources of strength and insight, rather than obstacles.",en,115,24,0,139,0.173,"['queen', 'a', 'material', 'to', 'embrace', 'a', 'to', 'tangible', 'queen', 'to', 'explore', 'to', 'embrace', 'tangible', 'a', 'to', 'a', 'queen', 'invites', 'to', 'embrace', 'material', 'to', 'as']",[]
6,"The Ten of Cups, a card of abundance and new beginnings, symbolizes the potential to embrace and nourish life. In the context of Fire, this card suggests a journey of material transformation, where one learns to channel their resources and physical abilities into tangible, life-giving achievements. The Ten of Cups embodies the spirit of adventure and the courage to explore uncharted territories, much like the Fire card's invitation to embrace the vital force that drives change. This card encourages a quest for self-discovery, where one discovers the power of their physical and emotional resources to drive meaningful decisions and foster deeper connections with others. It is a reminder that, like the Fire card, the Ten of Cups invites us to embrace our material landscapes, to see them as sources of strength and insight, rather than obstacles.",en,115,24,0,139,0.173,"['ten', 'a', 'to', 'embrace', 'a', 'material', 'to', 'tangible', 'ten', 'to', 'explore', 'to', 'embrace', 'vital', 'a', 'to', 'a', 'ten', 'invites', 'to', 'embrace', 'material', 'to', 'as']",[]
7,"The Four of Cups, a card of reflection and introspection, symbolizes the potential to embrace and nourish life. In the context of Earth, this card suggests a journey of material transformation, where one learns to channel their resources and physical abilities into tangible, life-giving achievements. The Four of Cups embodies the spirit of adventure and the courage to explore uncharted territories, much like the Earth card's invitation to embrace the tangible world and its resources. This card encourages a quest for self-discovery, where one discovers the power of their physical and emotional resources to drive meaningful decisions and foster deeper connections with others. It is a reminder that, like the Earth card, the Four of Cups invites us to embrace our material landscapes, to see them as sources of strength and insight, rather than obstacles.",en,117,21,0,138,0.152,"['a', 'to', 'embrace', 'a', 'material', 'to', 'tangible', 'to', 'explore', 'to', 'embrace', 'tangible', 'a', 'to', 'a', 'invites', 'to', 'embrace', 'material', 'to', 'as']",[]
8,"The Ten of Swords, a card of finality and transformation, symbolizes the potential to embrace and navigate the challenges of life. In the context of Fire, this card suggests a journey of spiritual purification, where one learns to channel their willpower and passion into constructive action. The Ten of Swords embodies the spirit of adventure and the courage to explore uncharted territories, much like the Fire card's invitation to embrace the vital force that drives change. This card encourages a quest for self-discovery, where one discovers the power of their inner strength to drive meaningful decisions and foster deeper connections with others. It is a reminder that, like the Fire card, the Ten of Swords invites us to embrace our willpower, to see it as a source of strength and insight, rather than an obstacle.",en,113,22,2,137,0.161,"['ten', 'a', 'to', 'embrace', 'a', 'to', 'ten', 'to', 'explore', 'to', 'embrace', 'vital', 'a', 'to', 'a', 'ten', 'invites', 'to', 'embrace', 'to', 'as', 'a']","['willpower', 'willpower']"
9,"The Ace of Cups, a card of abundance and new beginnings, symbolizes the potential to embrace and nourish life. In the context of Earth, this card suggests a journey of material transformation, where one learns to channel their resources and physical abilities into tangible, life-giving achievements. The Ace of Cups embodies the spirit of adventure and the courage to explore uncharted territories, much like the Earth card's invitation to embrace the tangible world and its resources. This card encourages a quest for self-discovery, where one discovers the power of their physical and emotional resources to drive meaningful decisions and foster deeper connections with others. It is a reminder that, like the Earth card, the Ace of Cups invites us to embrace our material landscapes, to see them as sources of strength and insight, rather than obstacles.",en,118,21,0,139,0.151,"['a', 'to', 'embrace', 'a', 'material', 'to', 'tangible', 'to', 'explore', 'to', 'embrace', 'tangible', 'a', 'to', 'a', 'invites', 'to', 'embrace', 'material', 'to', 'as']",[]
