Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"The Emperor represents the internal psyche, the depths of the subconscious, and the hidden aspects of the psyche. The Water card is linked with emotions, feelings, and intuition. It reflects the hidden depths of the psyche and reveals internal secrets. Water is essential for spiritual development and allows individuals to connect with their most intimate feelings. The Water card invites the seeker to explore their own emotions and better understand their impact on decision-making and interactions with others. It suggests evaluating dominant emotions and how they influence decision-making and interactions with others. The Water card is a call to honor emotional sensitivity as a tool for connection and self-discovery.",en,103,9,0,112,0.08,"['to', 'invites', 'to', 'explore', 'a', 'to', 'honor', 'as', 'a']",[]
1,"The card represents the need for clear communication and the exploration of thought. It suggests an exploration of how thoughts and words shape personal reality, and how clarity in this area can lead to a deeper understanding of oneself and one's surroundings. The card invites the seeker to reflect on the quality of their internal dialogue and its impact on their perception of reality.",en,55,10,0,65,0.154,"['personal', 'reality', 'area', 'can', 'to', 'a', 'invites', 'to', 'dialogue', 'reality']",[]
2,"The Earth card represents stability, solidity, and the capacity to sustain life. It invites us to reflect on our relationship with the material world and how we manage our resources. This card challenges us to evaluate our spiritual aspirations and our daily practices, promoting a balanced and sustainable approach that reflects our deepest values. It encourages us to consider the alignment between our spiritual aspirations and our daily practices, promoting a balanced and sustainable approach that reflects our deepest values.",en,72,8,0,80,0.1,"['to', 'invites', 'to', 'material', 'to', 'a', 'to', 'a']",[]
3,"The Ten of Pentacles card represents stability and the relationship between Earth and resources. It invites reflection on how we interact with the material world and how we manage our resources. This card challenges us to evaluate our relationship with money, health, and the environment, promoting a balanced and sustainable approach that reflects our deepest values.",en,51,5,0,56,0.089,"['ten', 'invites', 'material', 'to', 'a']",[]
4,"The Earth card represents stability, solidity, and the capacity to sustain life. It invites us to reflect on our relationship with resources and how we manage them. The Earth card challenges us to evaluate our beliefs and actions, promoting a balanced and sustainable approach that reflects our deepest values. It encourages us to consider our alignment between spiritual aspirations and daily practices, promoting a sense of alignment that reflects our deepest values. The Earth card invites us to reflect on how we interact with the material world and how we sustain our health and well-being. It encourages us to evaluate our relationship with money, health, and the environment, promoting a balanced and sustainable approach that reflects our deepest values. The Earth card challenges us to align with our spiritual aspirations and practices, promoting a sense of alignment that reflects our deepest values.",en,129,14,0,143,0.098,"['to', 'invites', 'to', 'to', 'a', 'to', 'a', 'invites', 'to', 'material', 'to', 'a', 'to', 'a']",[]
5,"The Queen of Pentacles represents the subconscious, the depths of the psyche, and the hidden aspects of the self. She is linked with emotions, feelings, and intuition. The Water card is a mirror, reflecting the hidden depths of the psyche and revealing internal secrets. It suggests introspection to identify dominant emotions and their impact on decision-making and interactions with others. The Water card encourages empathy and deeper understanding of shared experiences and emotions. It invites the seeker to explore their own emotions and honor emotional sensitivity as a tool for connection and self-discovery.",en,86,9,0,95,0.095,"['queen', 'a', 'to', 'invites', 'to', 'explore', 'honor', 'as', 'a']",[]
6,"The Fire card represents the drive and willpower of the individual. It is associated with the energy, passion, and determination that ignites action. The energy of Fire is both destructive and constructive, capable of burning away what is old and obsolete to make room for new creations. This card invites the individual to reflect on how their drive and willpower manifest in their actions and decisions. It suggests a need to properly channel inner strength and authenticity, aligning with a higher purpose. The Fire card challenges the individual to recognize and properly channel their inner strength, fostering personal growth and transformation.",en,88,11,2,101,0.109,"['individual', 'to', 'invites', 'individual', 'to', 'a', 'to', 'a', 'individual', 'to', 'personal']","['willpower', 'willpower']"
7,"The Earth card represents stability, solidity, and the capacity to sustain life. It invites us to reflect on our relationship with the material world and how we manage our resources. This card challenges us to evaluate our beliefs and actions, promoting a balanced and sustainable approach that reflects our deepest values. It encourages us to consider the alignment between our spiritual aspirations and our daily practices, offering an opportunity to reflect on our relationship with money, health, and the environment.",en,72,8,0,80,0.1,"['to', 'invites', 'to', 'material', 'to', 'a', 'to', 'to']",[]
8,"The Fire card represents the divine spark that ignites motivation and the desire to manifest one's will in the physical world. It suggests reflection on the authentic desires that motivate these actions and how to align them with a higher purpose. This card challenges the individual to use their inner strength consciously and deliberately, fostering personal growth and transformation.",en,52,8,0,60,0.133,"['divine', 'to', 'to', 'a', 'individual', 'to', 'use', 'personal']",[]
9,"The Earth card represents stability, solidity, and the capacity to sustain life. It invites us to reflect on our relationship with the material world and how we manage our resources. This card challenges us to evaluate our beliefs and actions, promoting a balanced and sustainable approach that reflects our deepest values. It encourages us to consider our spiritual aspirations and how we align with our daily practices. The Earth card is a reminder of the importance of balance and sustainability, reflecting our deepest values.",en,74,9,1,84,0.107,"['to', 'invites', 'to', 'material', 'to', 'a', 'to', 'a', 'balance']",['sustainability']
