Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"Beneath the surface, where tides whisper secrets to the shore, a force stirs—steady, unyielding, yet shaped by the currents of the unseen. It is the weight of deep waters, where the soul’s echoes meet the shore of the known, and the silent language of the subconscious rises in quiet waves. Here, the rigid and the fluid intertwine, a dance of structure and surrender, where the heart’s hidden currents carve paths through the stone of the self. In this space, the mirror of the mind reflects not just what is seen, but what is felt—truths buried beneath the surface, waiting to be drawn into the light of understanding. The world around you shifts like the tide, responding to the pull of something deeper, something vast and unspoken. Let the water guide you, not as a master, but as a companion to the depths you carry.",en,129,19,0,148,0.128,"['to', 'a', 'soul', 'echoes', 'rises', 'here', 'fluid', 'a', 'dance', 'buried', 'to', 'be', 'light', 'to', 'as', 'a', 'as', 'a', 'to']",[]
1,"The breath becomes a bridge between the silent and the spoken, weaving through the spaces between words and thoughts. A current of light flows where ideas meet the air, carrying the weight of unspoken truths into the vastness of possibility. Here, the mind hums with the rhythm of unseen currents, where clarity is not a destination but a ripple in the stillness. Words are not just echoes but seeds, planted in the wind, their roots reaching toward the unseen. The air holds the tension of a question, the soft pressure of a pause, the quiet certainty of a shared understanding. In this space, the self is not a solitary figure but a thread in a greater tapestry, stitched by the invisible hands of thought. The world breathes in response, and in that exchange, the boundaries between self and other blur, leaving only the echo of a breath that once was.",en,127,23,0,150,0.153,"['a', 'bridge', 'a', 'light', 'ideas', 'here', 'a', 'a', 'are', 'echoes', 'a', 'a', 'pause', 'a', 'a', 'figure', 'a', 'a', 'invisible', 'response', 'echo', 'a', 'once']",[]
2,"Beneath the weight of roots, a landscape stirs—three pillars rising from the soil, each a shadow of the others, yet all reaching toward the same horizon. The earth hums with the quiet pulse of what is held, what is built, what is left to grow. A river carves its path through the stones, not in defiance, but in the rhythm of what is necessary. The air holds the scent of dust and possibility, where the unseen presses against the tangible, shaping what is held in the hands of the ground. Balance is not stillness but the tension between what is fixed and what is yet to be. The earth remembers the weight of each step, the quiet strength of holding, the slow unfolding of what was once buried. In this space, the future is not a dream but a root, stretching toward the light of what is yet to be made.",en,135,17,0,152,0.112,"['a', 'a', 'pulse', 'to', 'a', 'tangible', 'balance', 'to', 'be', 'holding', 'once', 'buried', 'a', 'a', 'light', 'to', 'be']",[]
3,"The earth hums beneath your feet, a quiet resonance of weight and wonder, where the roots of what is held deepen into the soil of what is given. Here, the stillness of abundance cradles the fragile balance between what is taken and what is offered, a cycle of sustenance that thrives in the spaces between need and provision. The ground, though unyielding, holds the memory of growth, of seeds that once were nothing but potential, now woven into the fabric of what is real. In this place, the tangible and the unseen intertwine, a silent pact between what is held close and what is allowed to unfold. The air carries the scent of what has been nurtured, a reminder that even the heaviest of things can be lightened by the grace of patience. You are here, in the space where the earth’s quiet strength meets the weight of the world, and in that meeting, something new is born.",en,142,16,1,159,0.101,"['a', 'here', 'balance', 'a', 'once', 'real', 'place', 'tangible', 'a', 'to', 'has', 'a', 'can', 'be', 'are', 'here']",['lightened']
4,"A figure stands at the edge of a vast, unyielding plain, their presence steady as the earth itself, roots deep in the unseen, yet their gaze sharp as a blade of winter. The air hums with the weight of tangible truths, each breath a quiet assertion of what is, not what could be. Around them, the land holds its silence, a testament to the quiet strength of structure and the slow, sure growth of what is nurtured. In this space, the unseen and the seen intertwine—shadows stretching long, yet the ground beneath remains firm, a reminder that clarity and stability are not opposites but partners in the dance of form. The world here is a mirror, reflecting the balance between the mind’s sharp edge and the earth’s patient hold, where ideas take shape not in fleeting dreams, but in the solid, enduring language of what is.",en,128,21,0,149,0.141,"['a', 'figure', 'a', 'as', 'as', 'a', 'tangible', 'a', 'be', 'land', 'a', 'to', 'sure', 'a', 'are', 'dance', 'here', 'a', 'balance', 'ideas', 'solid']",[]
5,"Beneath the surface, where light bends and shadows ripple, a quiet force stirs—gentle, enduring, and rich with the weight of unseen currents. It is a presence that holds the depth of stillness, where emotions gather like coins in a hidden vault, waiting to be counted by the hand that knows their value. Here, the tide of feeling is not chaos but a slow, deliberate flow, shaped by the wisdom of those who listen to the hush between waves. A mirror of the soul, it reflects not just what is seen but what is held close, what is whispered in the language of the heart. The water rises, not in storm, but in the quiet certainty of knowing what is needed. It is the keeper of secrets, the nurturer of what is buried, the quiet anchor in the shifting sea of feeling. To be here is to feel the weight of the world not as a burden, but as a gift—something to hold, to understand, to let guide the path without ever losing the sense of being grounded in the depths.",en,154,28,0,182,0.154,"['light', 'a', 'a', 'a', 'to', 'be', 'here', 'chaos', 'a', 'listen', 'to', 'a', 'soul', 'rises', 'buried', 'anchor', 'sea', 'to', 'be', 'here', 'to', 'as', 'a', 'as', 'a', 'to', 'to', 'to']",[]
6,"A flame that has burned through old patterns, leaving behind a warm, resonant stillness where echoes of connection linger. The fire within becomes a mirror, reflecting not just the heat of desire but the quiet depth of what is held close. In the space between burning and fading, something new stirs—a quiet insistence that what was once sought is now found in the spaces between words, between breaths, between the weight of longing and the shape of peace. The fire does not consume but transforms, turning the ache of wanting into the hum of something held in the chest, a song that does not need to be sung but is felt in the marrow of being.",en,105,12,0,117,0.103,"['a', 'has', 'a', 'echoes', 'a', 'a', 'once', 'consume', 'hum', 'a', 'to', 'be']",[]
7,"The earth hums with a quiet resonance, its surface a tapestry of stillness and potential. Roots stretch toward the unseen, anchoring the world in a balance between what is held and what is released. The soil remembers the weight of what is kept and the lightness of what is let go, offering a fertile ground where the tangible and the ephemeral meet. Shadows linger where abundance once thrived, yet the land persists, a silent witness to the cycles of gathering and giving. In the hush between the seasons, the earth whispers of a truth not spoken—how the material world, though solid, is also a mirror for the unseen, a place where the spirit’s quiet desires take root and grow, even when the harvest is not yet clear.",en,111,18,0,129,0.14,"['a', 'a', 'a', 'balance', 'released', 'go', 'a', 'tangible', 'once', 'land', 'a', 'to', 'a', 'material', 'solid', 'a', 'a', 'place']",[]
8,"A flame that flickers in the shadow of a heavy burden, its embers whispering of what was burned. The weight of past conflicts hums beneath the surface, a silent pressure that bends the spine of action. Yet within the ash, a spark stirs—unseen, unyielding, a force that refuses to be extinguished. It is the will that turns sorrow into fire, the drive that carves through the cold of doubt. The air thickens with the scent of what was lost, but the heart beats with the rhythm of what could be. A paradox of stillness and motion, where the past is not buried but becomes fuel. The fire does not consume, but transforms, turning the weight of what was into the heat of what is yet to come. A dance of shadows and light, where the inner flame is both the burden and the bridge.",en,126,19,0,145,0.131,"['a', 'a', 'heavy', 'a', 'a', 'a', 'to', 'be', 'be', 'a', 'buried', 'fuel', 'consume', 'to', 'come', 'a', 'dance', 'light', 'bridge']",[]
9,"A river's current, once unseen, now carves its path through the earth's embrace, its flow a quiet rebellion against the weight of stone. Roots stretch toward the soil, not in defiance, but in surrender, drawing nourishment from the unseen layers beneath. The land, once rigid, yields to the gentle persistence of water, its surface rippling with the memory of distant rains. Here, the breath of the spirit meets the pulse of the earth, a silent dialogue between what is held and what is released. The soil cradles the seed of a new beginning, not in grand gestures, but in the quiet act of holding, of allowing the fragile to take root in the familiar. A balance is formed not through force, but through the slow, patient merging of the intangible and the tangible, where the weight of the world becomes a vessel for something lighter, something yet to be named.",en,127,25,0,152,0.164,"['a', 'once', 'embrace', 'a', 'land', 'once', 'to', 'here', 'pulse', 'a', 'dialogue', 'released', 'a', 'grand', 'holding', 'to', 'familiar', 'a', 'balance', 'intangible', 'tangible', 'a', 'lighter', 'to', 'be']",[]
