Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"The weight of a still, reflecting surface settles upon you. A current pulls, a deep resonance within, demanding attention.  The surface holds echoes – fragments of a past you’ve largely forgotten, shimmering with a bittersweet familiarity.  It speaks of a strength born from surrender, a quiet acceptance of the ebb and flow of feeling.  

A mirrored landscape unfolds, revealing a landscape of your own making, shaped by the tides of your heart.  It’s a space of profound connection, a willingness to be fully immersed in the emotional currents that shape your being.  There’s a pull towards clarity, a yearning to understand the language of your soul.  

Let the surface reveal what lies beneath, the quiet wisdom held within the depths.  Observe the patterns, the colors, the subtle shifts – for within these reflections, a truth awaits.",en,116,21,0,137,0.153,"['a', 'a', 'a', 'echoes', 'a', 've', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'to', 'be', 'a', 'a', 'to', 'soul', 'observe', 'a']",[]
1,"A gentle current, a shifting hue,
Where stillness yields to a whispered plea.
The breath expands, a silent grace,
Across a landscape of time and space.

A balance sought, a measured flow,
Where echoes of intention softly grow.
The mind’s reflection, a mirrored light,
Reflecting truths both dark and bright.

A quiet strength, a thoughtful plea,
To navigate the currents, wild and free.
Observe the pathways, clear and true,
And let the subtle shifts renew.",en,55,21,0,76,0.276,"['a', 'a', 'to', 'a', 'plea', 'a', 'a', 'time', 'a', 'balance', 'a', 'echoes', 'a', 'light', 'bright', 'a', 'a', 'plea', 'to', 'observe', 'true']",[]
2,"A rooted stillness, a foundation laid deep.  The earth’s embrace holds a quiet strength, a promise of enduring solidity.  Consider the pathways you’ve chosen, the resources you’ve cultivated – are they nourishing, or merely holding space?  A gentle pull towards the surface suggests a desire for tangible expression, a yearning to manifest your intentions.  Observe the interplay between your spirit and the world around you – is there a dissonance, a struggle to balance the ethereal with the grounded?  Let the earth’s quiet wisdom guide you toward a sustainable rhythm, a recognition that true fulfillment blossoms from a rooted connection to yourself and the world you inhabit.  A shift in perspective awaits, a chance to reshape your approach to the tangible, revealing a deeper resonance within.",en,97,31,0,128,0.242,"['a', 'a', 'embrace', 'a', 'a', 've', 've', 'are', 'holding', 'a', 'a', 'tangible', 'a', 'to', 'observe', 'a', 'a', 'to', 'balance', 'a', 'a', 'true', 'a', 'to', 'a', 'a', 'chance', 'to', 'to', 'tangible', 'a']",[]
3,"The earth settles, a quiet yielding beneath shifting weight.  A core of groundedness, a slow, deliberate embrace of what is.  Shadows lengthen, hinting at a potential for holding too much, a clinging to the familiar that obscures the boundless.  Roots reach, seeking purchase, yet the soil itself resists a sudden, forceful growth.  There’s a stillness within, a patient waiting for the sun to warm the dormant seeds.  Observe the patterns of nourishment – the offering of care, the careful tending of the space.  A gentle pull towards stability, a recognition that true strength lies not in dominance, but in the interwoven dance of earth and spirit.  Consider how your actions resonate with the landscape, and how you nurture the foundation of your being.",en,102,21,0,123,0.171,"['a', 'a', 'core', 'a', 'embrace', 'a', 'holding', 'too', 'a', 'to', 'familiar', 'a', 'a', 'a', 'to', 'observe', 'care', 'a', 'a', 'true', 'dance']",[]
4,"The grounded stillness of the Queen holds a quiet strength.  A deep, persistent current flows through the earth, a slow, deliberate shaping of what is.  It’s a recognition of the roots you’ve planted, the foundations upon which you build.  There’s a profound patience within, a knowing that the surface world is merely a reflection of something larger, a mirroring of the soul’s inherent potential.  

Consider the weight of your hands, the careful tending of your resources.  There’s a subtle tension, a desire to hold onto what feels solid, yet a yearning for a loosening, a letting go of unnecessary burdens.  The earth whispers of cycles – of growth and decay, of nourishment and return.  It asks you to examine the way you interact with the world, not as a master, but as a participant, a steady observer of the unfolding.",en,117,27,0,144,0.188,"['queen', 'a', 'a', 'a', 'a', 've', 'a', 'a', 'a', 'a', 'soul', 'a', 'a', 'to', 'onto', 'solid', 'a', 'a', 'a', 'go', 'to', 'examine', 'as', 'a', 'as', 'a', 'a']",[]
5,"The shimmering surface of this card reveals a quiet current, a deep well of feeling pulling towards the surface.  A steady hand, yet hesitant, guides a journey inward.  The weight of potential rests upon a foundation of groundedness, a recognition that strength blooms from vulnerability.  It’s a moment of gathering, of collecting the fragments of experience that shape the landscape of your being.  

Look closely at the reflection – what does it reveal?  Is it a calm, still pool, or a turbulent cascade?  The water whispers of choices, of paths diverging, and the subtle pull towards what feels truly authentic.  Allow the current to carry you, not to be swept away, but to be examined, to be understood through the depths of your own heart.  A quiet acceptance of the ebb and flow is the key to unlocking a profound and enduring truth.",en,122,21,0,143,0.147,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'look', 'a', 'a', 'cascade', 'to', 'to', 'be', 'to', 'be', 'to', 'be', 'a', 'to', 'a']",[]
6,"A molten core within, a slow, insistent burn.  The surface reflects a restless, yearning light, a desire to rise from the ashes of the past.  It pulls, it demands, yet offers a quiet invitation to reshape the landscape of your being.  A warmth radiates outwards, a promise of creation born from a deep, unwavering core.  Consider the echoes of a forgotten dream, the insistent pulse of a nascent purpose.  The fire dances, both illuminating and threatening, urging you to forge a path that resonates with your soul’s true song.  It’s a call to acknowledge the strength that resides within, a willingness to let go of what no longer serves, and to embrace the transformative power of your own will.",en,89,32,0,121,0.264,"['a', 'core', 'a', 'a', 'light', 'a', 'to', 'rise', 'a', 'to', 'a', 'a', 'a', 'core', 'echoes', 'a', 'pulse', 'a', 'dances', 'to', 'a', 'soul', 'true', 'a', 'to', 'resides', 'a', 'to', 'go', 'no', 'to', 'embrace']",[]
7,"A gentle yielding, a shadowed bloom.  The earth holds a quiet strength, a persistent pulse beneath the surface.  It’s a space of gathering, of roots reaching deep, anchoring a fragile hope.  Consider the weight of what you’ve cultivated – the stones you’ve gathered, the soil you’ve nurtured.  There’s a resonance within, a pull towards the tangible, a yearning for a solid foundation.  The offering of a shared space suggests a willingness to relinquish control, to allow something to grow organically.  Observe the patterns of nourishment – how you tend to the earth, and how it responds.  A quiet understanding emerges, a recognition that true fulfillment isn’t found in grand gestures, but in the steady, persistent act of being.",en,90,31,1,122,0.254,"['a', 'a', 'a', 'a', 'pulse', 'a', 'a', 'hope', 've', 've', 've', 'a', 'a', 'tangible', 'a', 'a', 'solid', 'a', 'a', 'to', 'control', 'to', 'to', 'observe', 'to', 'a', 'emerges', 'a', 'true', 't', 'grand']",['isn']
8,"The ember glows, a solitary point against a vast, shifting landscape.  A journey undertaken, a fierce blaze consumed – the path illuminated by a sudden, stark ending.  It speaks of a potent current, a force relentlessly pushing forward, yet shadowed by the inevitable.  The weight of potential rests heavy, a collection of desires held captive within the heart’s core.  

A flicker of resilience remains, a stubborn refusal to surrender to the darkness.  It’s a recognition of the inherent strength coiled within, waiting to be unleashed.  The landscape shifts, revealing a possibility of renewal, a chance to reshape the terrain of your being.  Let the heat of your spirit guide you, not with blind ambition, but with a deliberate, unwavering focus on what truly matters.  The echoes of what was, now resonate with the promise of what could be.",en,114,25,0,139,0.18,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'inevitable', 'heavy', 'a', 'core', 'a', 'a', 'to', 'to', 'a', 'to', 'be', 'a', 'a', 'chance', 'to', 'a', 'echoes', 'be']",[]
9,"A solid foundation, a rooted stillness.  The earth yields, offering a quiet strength.  A gentle pull towards the tangible, a yearning for the rootedness of your being.  Consider how your spirit’s seeds are nurtured by the soil beneath – the resources you’ve cultivated, the connections you’ve forged.  There’s a resonance within the groundedness, a promise of stability amidst shifting currents.  Observe the patterns of your life, the way you shape your environment, and the echoes of your intentions within the landscape.  A quiet acceptance of the present, a willingness to anchor yourself to what truly matters.  Let the earth’s embrace reveal the pathways to a sustainable and deeply felt existence.",en,92,22,0,114,0.193,"['a', 'solid', 'a', 'a', 'a', 'tangible', 'a', 'are', 've', 've', 'a', 'a', 'observe', 'echoes', 'a', 'a', 'to', 'anchor', 'to', 'embrace', 'to', 'a']",[]
