Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"The Emperor, in the realm of Water, represents a nurturing and compassionate force of emotions and intuition. It is a call to embrace the power of empathy and intuition, as they manifest in our daily lives and relationships. The Emperor invites you to explore the depths of your emotional world, seeking balance and harmony in your connection to the material plane and the manifestation of your intuition. It is a reminder to nurture and sustain the growth of your inner self, while also considering the impact of your actions on the physical environment and the resources available to you. The Emperor challenges you to evaluate your relationship with empathy, health, and the environment, urging you to find balance and harmony in your connection to the material world. This card is a call to embrace the power of empathy and intuition, as they manifest in your daily life and decisions, reflecting your deepest values and fostering a sustainable and fulfilling existence.",en,134,25,1,160,0.156,"['a', 'a', 'to', 'embrace', 'as', 'invites', 'to', 'explore', 'balance', 'to', 'material', 'plane', 'a', 'to', 'to', 'to', 'to', 'balance', 'to', 'material', 'a', 'to', 'embrace', 'as', 'a']",['fulfilling']
1,"The Temperance, in the realm of Air, represents a force of mental clarity and communication. It is a call to balance the spiritual with the intellectual, aligning our inner strength with our cognitive well-being and our connection to the world around us. The Temperance invites you to explore the relationship between your thoughts, emotions, and the abstract aspects of your life. It is a reminder to nurture and sustain the growth of your inner self, while also considering the impact of your actions on the intellectual environment and the resources available to you. The Temperance challenges you to evaluate your relationship with thought, health, and the environment, urging you to find balance and harmony in your connection to the intellectual world. This card is a call to embrace the power of mental clarity and communication, as they manifest in your daily life and decisions, reflecting your deepest values and fostering a sustainable and fulfilling existence.",en,133,22,1,156,0.141,"['a', 'mental', 'a', 'to', 'balance', 'to', 'invites', 'to', 'explore', 'a', 'to', 'to', 'to', 'to', 'balance', 'to', 'a', 'to', 'embrace', 'mental', 'as', 'a']",['fulfilling']
2,"The Three of Wands, in the realm of Earth, represents a force of stability and resources. It is a call to balance the spiritual with the material, aligning our inner strength with our physical well-being and our connection to the world around us. The Three of Wands invites you to explore the relationship between your beliefs, emotions, and the tangible aspects of your life. It is a reminder to nurture and sustain the growth of your inner self, while also considering the impact of your actions on the physical environment and the resources available to you. The Three of Wands challenges you to evaluate your relationship with money, health, and the environment, urging you to find balance and harmony in your connection to the material world. This card is a call to embrace the power of stability and resources, as they manifest in your daily life and decisions, reflecting your deepest values and fostering a sustainable and fulfilling existence.",en,136,23,1,160,0.144,"['a', 'a', 'to', 'balance', 'material', 'to', 'invites', 'to', 'explore', 'tangible', 'a', 'to', 'to', 'to', 'to', 'balance', 'to', 'material', 'a', 'to', 'embrace', 'as', 'a']",['fulfilling']
3,"The Ten of Pentacles, in the realm of Earth, represents a force of stability and resources. It is a call to balance the spiritual with the material, aligning our inner strength with our physical well-being and our connection to the world around us. The Ten of Pentacles invites you to explore the relationship between your beliefs, emotions, and the tangible aspects of your life. It is a reminder to nurture and sustain the growth of your inner self, while also considering the impact of your actions on the physical environment and the resources available to you. The Ten of Pentacles challenges you to evaluate your relationship with money, health, and the environment, urging you to find balance and harmony in your connection to the material world. This card is a call to embrace the power of stability and resources, as they manifest in your daily life and decisions, reflecting your deepest values and fostering a sustainable and fulfilling existence.",en,133,26,1,160,0.163,"['ten', 'a', 'a', 'to', 'balance', 'material', 'to', 'ten', 'invites', 'to', 'explore', 'tangible', 'a', 'to', 'to', 'ten', 'to', 'to', 'balance', 'to', 'material', 'a', 'to', 'embrace', 'as', 'a']",['fulfilling']
4,"The Queen of Swords, in the realm of Earth, represents a powerful force of will and determination. It is a call to harness the energy of drive and passion, channeling it into manifesting one's desires in the physical world. The Queen of Swords invites you to explore the depths of your inner strength, seeking balance and harmony in your connection to the material plane and the manifestation of your will. It is a reminder to nurture and sustain the growth of your inner self, while also considering the impact of your actions on the physical environment and the resources available to you. The Queen of Swords challenges you to evaluate your relationship with drive, health, and the environment, urging you to find balance and harmony in your connection to the material world. This card is a call to embrace the power of will and determination, as they manifest in your daily life and decisions, reflecting your deepest values and fostering a sustainable and fulfilling existence.",en,139,26,1,166,0.157,"['queen', 'a', 'a', 'to', 'queen', 'invites', 'to', 'explore', 'balance', 'to', 'material', 'plane', 'a', 'to', 'to', 'queen', 'to', 'to', 'balance', 'to', 'material', 'a', 'to', 'embrace', 'as', 'a']",['fulfilling']
5,"The Queen of Pentacles, in the realm of Water, represents a nurturing and compassionate force of emotions and intuition. It is a call to embrace the power of empathy and intuition, as they manifest in our daily lives and relationships. The Queen of Pentacles invites you to explore the depths of your emotional world, seeking balance and harmony in your connection to the material plane and the manifestation of your intuition. It is a reminder to nurture and sustain the growth of your inner self, while also considering the impact of your actions on the physical environment and the resources available to you. The Queen of Pentacles challenges you to evaluate your relationship with empathy, health, and the environment, urging you to find balance and harmony in your connection to the material world. This card is a call to embrace the power of empathy and intuition, as they manifest in your daily life and decisions, reflecting your deepest values and fostering a sustainable and fulfilling existence.",en,137,28,1,166,0.169,"['queen', 'a', 'a', 'to', 'embrace', 'as', 'queen', 'invites', 'to', 'explore', 'balance', 'to', 'material', 'plane', 'a', 'to', 'to', 'queen', 'to', 'to', 'balance', 'to', 'material', 'a', 'to', 'embrace', 'as', 'a']",['fulfilling']
6,"The Ten of Cups, in the realm of Fire, represents a powerful force of will and determination. It is a call to harness the energy of drive and passion, channeling it into manifesting one's desires in the physical world. The Ten of Cups invites you to explore the depths of your inner strength, seeking balance and harmony in your connection to the material plane and the manifestation of your will. It is a reminder to nurture and sustain the growth of your inner self, while also considering the impact of your actions on the physical environment and the resources available to you. The Ten of Cups challenges you to evaluate your relationship with drive, health, and the environment, urging you to find balance and harmony in your connection to the material world. This card is a call to embrace the power of will and determination, as they manifest in your daily life and decisions, reflecting your deepest values and fostering a sustainable and fulfilling existence.",en,139,26,1,166,0.157,"['ten', 'a', 'a', 'to', 'ten', 'invites', 'to', 'explore', 'balance', 'to', 'material', 'plane', 'a', 'to', 'to', 'ten', 'to', 'to', 'balance', 'to', 'material', 'a', 'to', 'embrace', 'as', 'a']",['fulfilling']
7,"The Four of Cups, in the realm of Earth, represents a force of stability and resources. It is a call to balance the spiritual with the material, aligning our inner strength with our physical well-being and our connection to the world around us. The Four of Cups invites you to explore the relationship between your beliefs, emotions, and the tangible aspects of your life. It is a reminder to nurture and sustain the growth of your inner self, while also considering the impact of your actions on the physical environment and the resources available to you. The Four of Cups challenges you to evaluate your relationship with money, health, and the environment, urging you to find balance and harmony in your connection to the material world. This card is a call to embrace the power of stability and resources, as they manifest in your daily life and decisions, reflecting your deepest values and fostering a sustainable and fulfilling existence.",en,136,23,1,160,0.144,"['a', 'a', 'to', 'balance', 'material', 'to', 'invites', 'to', 'explore', 'tangible', 'a', 'to', 'to', 'to', 'to', 'balance', 'to', 'material', 'a', 'to', 'embrace', 'as', 'a']",['fulfilling']
8,"The Ten of Swords, in the realm of Fire, represents a powerful force of will and determination. It is a call to harness the energy of drive and passion, channeling it into manifesting one's desires in the physical world. The Ten of Swords invites you to explore the depths of your inner strength, seeking balance and harmony in your connection to the material plane and the manifestation of your will. It is a reminder to nurture and sustain the growth of your inner self, while also considering the impact of your actions on the physical environment and the resources available to you. The Ten of Swords challenges you to evaluate your relationship with drive, health, and the environment, urging you to find balance and harmony in your connection to the material world. This card is a call to embrace the power of will and determination, as they manifest in your daily life and decisions, reflecting your deepest values and fostering a sustainable and fulfilling existence.",en,139,26,1,166,0.157,"['ten', 'a', 'a', 'to', 'ten', 'invites', 'to', 'explore', 'balance', 'to', 'material', 'plane', 'a', 'to', 'to', 'ten', 'to', 'to', 'balance', 'to', 'material', 'a', 'to', 'embrace', 'as', 'a']",['fulfilling']
9,"The Ace of Cups, in the realm of Earth, represents a fountain of emotional abundance and spiritual nourishment. It is a call to embrace the power of love and compassion, as they manifest in our daily lives and relationships. The Ace of Cups invites you to explore the depths of your emotional world, seeking balance and harmony in your connection to the material plane and resources. It is a reminder to nurture and sustain the growth of your inner self, while also considering the impact of your actions on the physical environment and the resources available to you. The Ace of Cups challenges you to evaluate your relationship with money, health, and the environment, urging you to find balance and harmony in your connection to the material world. This card is a call to embrace the power of love and compassion, as they manifest in your daily life and relationships, reflecting your deepest values and fostering a sustainable and fulfilling existence.",en,135,25,1,161,0.155,"['a', 'a', 'to', 'embrace', 'as', 'invites', 'to', 'explore', 'balance', 'to', 'material', 'plane', 'a', 'to', 'to', 'to', 'to', 'balance', 'to', 'material', 'a', 'to', 'embrace', 'as', 'a']",['fulfilling']
